,Title,Sell price,Bids
191,Grill från Lundby,70,34
192,Blombord från Lundby retro,67,15
193,Hundfamilj från Lundby,51,32
194,"Möbel retro, köksmöbel, lundby, dockhus",80,27
195,"Möbel retro, lundby, dockhus",46,21
196,"Möbel retro, lundby, dockhus",45,21
197,Modernt Lundby kök med belysning. Dockskåp. Dockhus. Lundbyskalan,246,19
198,"Soffbord, bord, retro lundby dockhus",23,13
199,"Liten julgran, retro lundby dockhus",60,32
200,Transformator lundby dockhus,116,23
201,Lundby stereo paket i teak. Lp. Dockskåp. Dockhus. Lundbyskalan,415,19
202,Lampor till Lundby dockskåp,148,10
203,Lundby dockskåp transformator,180,25
204,Retro lundby dockskåpsmöbler lerro soffa fåtölj dockskåp möbler skinnsoffa,445,13
205,Lundby lampa,16,2
206,Transformator till Lundby dockskåp,95,5
207,Arvid Granström :Lundby-valsen /Fiskarvals från Bohuslän,25,1
208,Lundby dockskåp möbler matta defekta renoveringsobjekt,4,4
209,Blandade dockhusmöbler Lundby,105,16
210,Retro Lundby gran,60,3
211,Lundby dockhus renoveringsobjekt,393,11
212,Tillbehör dockskåp Lundby sylvanian families mm,30,1
213,"Lundby sittmöbler, 2 fåtöljer och ett soffbord",160,7
214,Retro Lundby retro coola möbler inredning,70,1
215,Retro Lundby retro coola möbler inredning,70,1
216,Retro Lundby retro coola möbler inredning,70,1
217,Äldre stereo till Lundby dockhus / dockskåp,38,4
218,Äldre vardagsrumsbord till Lundby dockhus / dockskåp,60,13
219,Äldre träkista till Lundby dockhus / dockskåp,16,2
220,"Fågelbur fågel i, passar dockskåp, tittskåp Skala 1:12 / Lundby - målningsbar",18,9
221,Kök Lundby dockskåp,236,3
222,Taklampa retro Lundby,44,8
223,"*** Lundby dockskåp, badrum i blått och vitt ***",150,34
224,"*** Lundby dockskåp, jättefin jordglob i metall ***",75,10
225,"*** Lundby dockskåp, sovrumsmöbler/ säng i vitt och rosa ***",190,46
226,Nytt Lundby set kaninbur,59,1
227,"*** Lundby dockskåp, jättefin gardin i vitt och rosa ***",39,18
228,"*** Lundby dockskåp, fina vita spetsgardiner ***",33,16
229,"*** Lundby dockskåp, två st gardiner i vit spets!! ***",105,30
230,Dockskåpsmöbler Lundby Matsalsskåp 1977,38,5
231,Dockskåpsmöbler Lundby Barnkammarmöbel 1977,19,1
232,LUNDBY DOCKOR DOCKSKÅP,133,5
233,Dockskåpsmöbler Lundby Soffa fåtölj bord i Gustaviansk stil 70-tal,230,32
234,Lundby bastu med pall,84,18
235,Lundby Hallmöbel,60,9
236,Dockskåpsmöbler Lundby Sovrumsmöbel New Skandinavien 70-tal,135,17
237,Lundby Möbelgrupp med dockor,47,5
238,Lundby Toalett retro,49,1
239,Lundby Möbler med dalamotiv,55,10
240,Lundby Braskamin med vedkorg,19,1
241,Lundby Soffgrupp med bokhyllor skivspelare,105,7
242,Dockskåpsmöbler Lundby Hallmiljö 70-tal,220,29
243,Lundby retro tv möbler,142,14
244,Dockskåpsmöbler Lundby Hyllvitrin 70-tal,48,7
245,Lundby olika lampor,102,14
246,Lundby äldre köks inredning,60,20
247,Dockskåpsmöbler Lundby Orientmatta 1983,23,3
248,Lundby köksmöblemang,104,23
249,Dockskåpsmöbler Lundby Orientmatta 1983,26,4
250,Lundby möblemang våningsäng piano,116,11
251,Lundby balkong med snölykta och stolar,83,10
252,Dockskåpsmöbler Lundby RöllakanMatta 1975,51,14
253,"Lundby sovrumsmöblemang , radio",136,12
254,Dockskåpsmöbler Lundby Orientmatta 1971,47,11
255,Lundby Dockset Shopping,60,3
256,Dockskåpsmöbler Lundby Matbord Perstorpsplattan med virrvarrmönster 1972,46,11
257,Lundby köksmöbel ”Nytt”,70,3
258,Dockskåpsmöbler Lundby Matbord 60-tal 3 gula stolar 1972,94,14
259,Lundby Dockfamilj,50,1
260,Dockskåpsmöbler Lundby Symaskin 70-tal,85,20
261,Dockskåpsmöbler Lundby Kastrullerna och stekpanna 70-tal,140,34
262,Dockskåpsmöbler Lundby Kafferep m m 70-tal,90,22
263,Dockskåpsmöbler Lundby Akvarium 1979,97,20
264,Dockskåpsmöbler Lundby Taklampa 1967,111,16
265,Dockskåpsmöbler Lundby Taklampa 1983,44,10
266,Dockskåpsmöbler Lundby Taklampa 70/80-tal,20,2
267,Dockskåpsmöbler Lundby Taklampa 70 -tal,91,14
268,Dockskåpsmöbler Lundby Taklampa 80-tal,111,25
269,Dockskåpsmöbler Lundby Golvlampa metallstativ 70/ 80-tal,92,22
270,Dockskåpsmöbler Lundby Färg tv på stativ 1979,100,22
271,Lundby Solsängar och parasoll,89,1
272,Dockskåpsmöbler Lundby Blombord metall 70-tal,32,7
273,Dockskåpsmöbler Lundby Gröna växter 70-tal,65,22
274,Dockskåpsmöbler Lundby Badrumsinredning 1974,85,12
275,Dockskåpsmöbler Lundby Öppen spis och vedkorg 60/70-tal,100,24
276,Dockskåpsmöbler Lundby Rött piano 1972,47,12
277,Dockskåpsmöbler Lundby Gardinuppsättning 70-tal,32,7
278,@@@ Lundby Dockskåp Soptunna @@@,10,1
279,Lundby Småland nr 602066 barnkammarmöbler,160,8
280,Dockskåpsmöbler Lundby Gardinuppsättning 70-tal,20,2
281,"Lundby Stockholm nr 609023, soffgrupp",126,11
282,Dockskåpsmöbler Lundby Gardinuppsättning 70-tal,33,6
283,Dockskåpsmöbler Lundby gardinuppsättningar 70-tal,34,5
284,Dockskåpsmöbler Lundby 5 klädda furustolar 1977,65,16
285,Dockskåpsmöbler Lundby 4 klädda stolar 1972,41,9
286,Transformator Lundby dockskåp,130,5
287,"Lundby lampor, gardin, kaffebryggare, babykorg",110,25
288,Dockskåpsmöbler Lundby vagga barnsäng barnstol mm 70-tal,76,18
289,Dockskåpsmöbler Lundby joddlarveranda 80-tal,210,17
290,Dockskåpsmöbler Lundby Köksinredning Continental 1974,114,16
291,Dockskåpsmöbler Lundby /Lerro äldre trämöbler,75,18
292,Dockskåpsmöbler Lundby fåtölj Elegance 1974 soffbord 70-tal samlare retro,34,5
293,"*** Lundby dockskåp, vitt retro kök i vitt ***",366,17
294,Dockskåpsmöbler Lundby gul telefon i metall med katalog mm 70-tal samlare retro,60,22
295,"*** Lundby dockskåp, kaffebryggare ***",75,25
296,Dockskåpsmöbler Slitna 50-60-talsmöbler Rokokostil Lundby/Lerro retro,95,16
297,Lundby dockskåp möbler badrum,70,13
298,"Lundby dockskåp Öppen spis, tv och soffa",66,8
299,"Lundby dockskåp - Badenbaden, parasoll, säng, lampa, skåp, skrivbor och symaskin",201,38
300,Lundby dockskåp dockskåpsmöbler,31,3
301,Lundby dockskåp dockskåpstillbehör retro,30,6
302,Lundby dockskåp dockskåpsmöbler retro,65,21
303,Lundby dockskåp dockskåpsmöbler retro,9,1
304,Lundby dockskåp dockskåpsmöbler retro,14,5
305,Säng med gavel Lundby.,47,11
306,Lundby dockskåp dockskåps bil retro,160,9
307,LUNDBY Soffs i Originalförpackning No:5220 Dockskåp Dockskåpsmöbler,98,19
308,LUNDBY LIDO bokhylla i Originalförpackning No:5351 Dockskåp Dockskåpsmöbler,161,24
309,LUNDBY LIDO bokhylla i Originalförpackning No:5352 Dockskåp Dockskåpsmöbler,212,30
310,LUNDBY LIDO bokhylla i Originalförpackning No:5350 Dockskåp Dockskåpsmöbler,201,24
311,Lundby dockskåp dockskåpsmöbler retro,36,9
312,*** Kattmamma med ungar till Lundby dockskåp ***,48,19
313,Dockskåp Lerro/Lundby av Per Börnfelt 1955,2200,1
314,"*** Lundby dockskåp, mamma och morfar/farfar ***",60,11
315,"*** Lundby dockskåp, golvur och väggklocka i vitt ***",12,3
316,*** Guldig spegel till Lundby dockskåp! ***,41,12
317,Lundby julrum,66,8
318,"*** Lundby dockskåp, Tv med häst ***",40,12
319,Retro Lundby retro coola möbler inredning,100,1
320,*** Våningssäng till Lundby dockskåp!! ***,90,25
321,Lundby/Lerro rokoko jul,66,8
322,Dockskåp inredning badrum wc Lundby Retro,82,10
